temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
910200	0.687186863	0.683632056	0.746523354	1.650536877	-1.57784695	295.3411628	293.4084686	292.0530627
910500	0.687369586	0.683936562	0.746933514	1.633115101	-1.540920772	295.3693672	293.4609594	292.1109086
910800	0.687552308	0.684241067	0.747343674	1.615685186	-1.503977725	295.3975715	293.5134502	292.1687545
911100	0.687749427	0.684538969	0.747735873	1.600763232	-1.561204093	295.4292994	293.5637945	292.2220971
911400	0.687946545	0.684836871	0.748128071	1.585834566	-1.618422711	295.4610274	293.6141387	292.2754396
911700	0.688143664	0.685134773	0.74852027	1.570899188	-1.675633785	295.4927554	293.6644829	292.3287822
912000	0.688321872	0.685426381	0.748904685	1.557565755	-1.731130665	295.520667	293.7128122	292.3810744
912300	0.68850008	0.68571799	0.749289101	1.54422655	-1.786658684	295.5485785	293.7611415	292.4333666
912600	0.688678289	0.686009598	0.749673517	1.530881573	-1.842217845	295.5764901	293.8094707	292.4856589
912900	0.688863134	0.686296827	0.750064191	1.517653376	-1.893765927	295.6055682	293.8562471	292.5415445
913200	0.689047979	0.686584056	0.750454865	1.504419635	-1.945353075	295.6346462	293.9030235	292.5974302
913500	0.689232825	0.686871284	0.750845539	1.491180349	-1.996979293	295.6637243	293.9497999	292.6533159
913800	0.689392343	0.687154237	0.751215987	1.477876935	-1.928914907	295.6892345	293.995148	292.7047176
914100	0.689551861	0.68743719	0.751586434	1.464568115	-1.86087956	295.7147448	294.0404961	292.7561192
914400	0.68971138	0.687720143	0.751956881	1.451253889	-1.79287295	295.7402551	294.0858442	292.8075209
914700	0.689882256	0.687998608	0.752313032	1.438582276	-1.860251753	295.7672682	294.1296618	292.8566439
915000	0.690053132	0.688277073	0.752669182	1.425905681	-1.927666157	295.7942813	294.1734795	292.9057669
915300	0.690224009	0.688555537	0.753025333	1.413224104	-1.995116167	295.8212944	294.2172971	292.9548899
915600	0.690373449	0.688831069	0.753396713	1.399858042	-2.145955638	295.8453382	294.2600076	293.0099323
915900	0.69052289	0.6891066	0.753768093	1.386486862	-2.29694826	295.8693821	294.3027181	293.0649747
916200	0.69067233	0.689382131	0.754139473	1.373110562	-2.448094045	295.8934259	294.3454286	293.1200171
916500	0.690823594	0.689654048	0.754474986	1.359628384	-1.947898752	295.9165332	294.3869151	293.1671774
916800	0.690974859	0.689925965	0.7548105	1.346141189	-1.448011093	295.9396404	294.4284016	293.2143376
917100	0.691126123	0.690197881	0.755146014	1.332648977	-0.948431017	295.9627477	294.469888	293.2614979
917400	0.691281073	0.690463683	0.755429826	1.32197029	-1.093908131	295.9881851	294.5095179	293.2978917
917700	0.691436023	0.690729484	0.755713638	1.311287788	-1.239332032	296.0136225	294.5491477	293.3342855
918000	0.691590972	0.690995286	0.75599745	1.300601471	-1.384703266	296.0390599	294.5887775	293.3706794
918300	0.691732258	0.691252802	0.756261999	1.292469515	-1.456292393	296.0601386	294.6260342	293.4043126
918600	0.691873544	0.691510317	0.756526548	1.284334808	-1.527908697	296.0812172	294.6632909	293.4379458
918900	0.69201483	0.691767833	0.756791097	1.276197351	-1.59955218	296.1022958	294.7005476	293.471579
919200	0.692159761	0.692017685	0.757042436	1.26944933	-1.530279967	296.1249779	294.7355696	293.5053703
919500	0.692304693	0.692267536	0.757293775	1.262699151	-1.460991593	296.14766	294.7705916	293.5391615
919800	0.692449624	0.692517388	0.757545114	1.255946813	-1.391687054	296.1703421	294.8056136	293.5729528
920100	0.692570199	0.692759068	0.75777001	1.250068657	-1.169219016	296.188432	294.8383832	293.601892
920400	0.692690773	0.693000748	0.757994906	1.244188733	-0.946807996	296.2065219	294.8711528	293.6308311
920700	0.692811348	0.693242428	0.758219802	1.23830704	-0.72445398	296.2246118	294.9039224	293.6597702
921000	0.692952782	0.693477128	0.758440136	1.233162099	-1.118452538	296.2456083	294.9346689	293.6896619
921300	0.693094216	0.693711828	0.75866047	1.228015698	-1.512586454	296.2666047	294.9654155	293.7195536
921600	0.69323565	0.693946529	0.758880803	1.222867836	-1.90685718	296.2876012	294.996162	293.7494453
921900	0.693352946	0.694175266	0.759089789	1.217748601	-1.748732043	296.3045837	295.0252468	293.7788071
922200	0.693470243	0.694404003	0.759298775	1.212627989	-1.590604642	296.3215662	295.0543316	293.8081688
922500	0.693587539	0.69463274	0.759507761	1.207505998	-1.432474969	296.3385487	295.0834164	293.8375305
922800	0.693718271	0.694854569	0.759669618	1.203548905	-1.132343123	296.35681	295.1106097	293.8589779
923100	0.693849004	0.695076397	0.759831476	1.199590807	-0.832370321	296.3750713	295.137803	293.8804253
923400	0.693979737	0.695298226	0.759993334	1.195631703	-0.532556528	296.3933325	295.1649963	293.9018727
923700	0.694088028	0.695510554	0.760119157	1.193865341	-0.455897139	296.4079717	295.1897292	293.9159702
924000	0.69419632	0.695722883	0.760244981	1.192098556	-0.379255002	296.4226109	295.2144622	293.9300676
924300	0.694304612	0.695935211	0.760370805	1.190331347	-0.302630111	296.4372501	295.2391951	293.9441651
924600	0.694426835	0.69613967	0.760514065	1.189287801	-0.620602935	296.4533813	295.2617873	293.9642729
924900	0.694549057	0.69634413	0.760657326	1.188244018	-0.938866649	296.4695124	295.2843794	293.9843807
925200	0.69467128	0.696548589	0.760800586	1.187199998	-1.257421256	296.4856436	295.3069715	294.0044885
925500	0.694770456	0.696747735	0.760944629	1.185059119	-1.292143906	296.4981288	295.3281661	294.0270201
925800	0.694869632	0.69694688	0.761088671	1.182917802	-1.326858072	296.510614	295.3493606	294.0495517
926100	0.694968809	0.697146026	0.761232714	1.180776048	-1.361563859	296.5230993	295.3705551	294.0720832
926400	0.695066812	0.697335711	0.761283915	1.180338597	-0.602011004	296.5338437	295.3894451	294.0751056
926700	0.695164815	0.697525397	0.761335117	1.179901056	0.156115022	296.5445881	295.408335	294.078128
927000	0.695262818	0.697715082	0.761386318	1.179463424	0.912814305	296.5553325	295.4272249	294.0811505
927300	0.695347237	0.697885614	0.761308319	1.186038342	1.411729661	296.5645026	295.4415161	294.0564073
927600	0.695431655	0.698056145	0.76123032	1.192614164	1.909639018	296.5736727	295.4558072	294.0316641
927900	0.695516074	0.698226677	0.761152321	1.199190887	2.406542463	296.5828428	295.4700984	294.0069209
928200	0.695598085	0.698370659	0.760999815	1.214514634	2.688690008	296.5905842	295.4779675	293.9650568
928500	0.695680095	0.698514642	0.76084731	1.229839672	2.970577233	296.5983256	295.4858365	293.9231927
928800	0.695762105	0.698658625	0.760694804	1.245166003	3.252205092	296.6060671	295.4937056	293.8813286
929100	0.695867258	0.698775779	0.760495633	1.268636863	3.416312199	296.6185318	295.4950669	293.829892
929400	0.69597241	0.698892933	0.760296461	1.292108424	3.580207916	296.6309964	295.4964282	293.7784554
929700	0.696077562	0.699010087	0.760097289	1.315580687	3.743892245	296.6434611	295.4977895	293.7270188
930000	0.696162756	0.699101848	0.759864967	1.344803242	3.886899056	296.6514799	295.493061	293.6682569
930300	0.69624795	0.699193609	0.759632645	1.374025176	4.029715113	296.6594986	295.4883326	293.6094951
930600	0.696333145	0.69928537	0.759400323	1.40324649	4.172340414	296.6675174	295.4836042	293.5507333
930900	0.696404191	0.699353055	0.759137367	1.435525525	4.262792175	296.6716437	295.4730641	293.4867957
931200	0.696475237	0.699420739	0.758874411	1.467802298	4.353132151	296.6757701	295.4625239	293.4228581
931500	0.696546284	0.699488424	0.758611456	1.500076807	4.443360343	296.6798964	295.4519838	293.3589205
931800	0.696599909	0.699534625	0.758333922	1.53376808	4.476605022	296.6817347	295.4362367	293.2927288
932100	0.696653533	0.699580826	0.758056388	1.567455513	4.509813751	296.683573	295.4204896	293.2265371
